seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770001,9,A,100,63,75,100,80,100,8,0,4,2,1,1,-1
770001,9,B,100,80,100,100,63,75,8,0,2,4,1,1,1
770001,10,A,100,53,90,100,80,100,6,0,0,3,1,1,-1
770001,10,B,100,80,100,100,53,90,6,0,3,0,1,1,1
770001,11,A,100,53,75,100,70,80,8,1,2,5,1,1,-1
770001,11,B,100,70,80,100,53,75,8,1,5,2,1,1,1
770001,12,A,100,53,60,100,70,100,6,1,4,0,1,1,-1
770001,12,B,100,70,100,100,53,60,6,1,0,4,1,1,1
770001,13,A,100,53,80,100,70,95,5,1,4,1,1,1,-1
770001,13,B,100,70,95,100,53,80,5,1,1,4,1,1,1
770001,14,A,100,68,80,100,70,90,6,1,5,2,1,1,-1
770001,14,B,100,70,90,100,68,80,6,1,2,5,1,1,1
770001,15,A,100,58,100,100,70,100,6,1,0,2,1,1,-1
770001,15,B,100,70,100,100,58,100,6,1,2,0,1,1,1
770001,16,A,100,70,100,100,60,85,5,1,1,4,1,1,-1
770001,16,B,100,60,85,100,70,100,5,1,4,1,1,1,1
770001,17,A,100,70,100,100,60,90,2,1,2,0,1,1,-1
770001,17,B,100,60,90,100,70,100,2,1,0,2,1,1,1
770001,18,A,100,40,100,100,20,75,5,1,3,2,1,1,-1
770001,18,B,100,20,75,100,40,100,5,1,2,3,1,1,1
770001,19,A,100,40,95,100,35,75,4,1,4,3,1,1,-1
770001,19,B,100,35,75,100,40,95,4,1,3,4,1,1,1
770001,20,A,100,55,95,100,35,70,3,1,5,4,1,1,-1
770001,20,B,100,35,70,100,55,95,3,1,4,5,1,1,1
770001,21,A,100,55,100,100,35,50,2,2,0,5,1,1,-1
770001,21,B,100,35,50,100,55,100,2,2,5,0,1,1,1
770001,22,A,100,15,80,100,35,45,3,2,2,1,1,1,-1
770001,22,B,100,35,45,100,15,80,3,2,1,2,1,1,1
770001,23,A,100,30,80,100,50,45,3,2,3,2,1,1,-1
770001,23,B,100,50,45,100,30,80,3,2,2,3,1,1,1
770001,24,A,100,30,60,100,50,35,1,2,5,3,1,1,-1
770001,24,B,100,50,35,100,30,60,1,2,3,5,1,1,1
770001,25,A,100,30,50,100,40,20,1,2,1,5,1,1,-1
770001,25,B,100,40,20,100,30,50,1,2,5,1,1,1,1
770001,26,A,88,30,40,100,0,35,1,2,2,1,1,1,-1
770001,26,B,100,0,35,88,30,40,1,2,1,2,1,1,1
770001,27,A,88,30,20,100,0,35,1,2,4,2,1,1,-1
770001,27,B,100,0,35,88,30,20,1,2,2,4,1,1,1
770001,28,A,73,30,10,100,0,20,1,2,5,4,1,0,-1
770001,28,B,100,0,20,73,30,10,1,2,4,5,0,1,1
770001,29,A,73,0,50,85,0,40,1,2,0,4,1,0,-1
770001,29,B,85,0,40,73,0,50,1,2,4,0,0,1,1
770001,30,A,58,0,35,85,0,30,2,2,1,0,1,0,-1
770001,30,B,85,0,30,58,0,35,2,2,0,1,0,1,1
770001,31,A,58,0,15,85,0,20,2,2,3,1,0,0,-1
770001,31,B,85,0,20,58,0,15,2,2,1,3,0,0,1
770001,32,A,73,15,15,100,15,20,2,2,4,2,0,0,-1
770001,32,B,100,15,20,73,15,15,2,2,2,4,0,0,1
770001,33,A,88,30,15,100,15,40,2,2,5,2,0,0,-1
770001,33,B,100,15,40,88,30,15,2,2,2,5,0,0,1
770001,34,A,100,45,45,100,30,40,2,2,0,3,0,0,-1
770001,34,B,100,30,40,100,45,45,2,2,3,0,0,0,1
770001,35,A,100,45,65,100,30,30,3,2,0,4,0,0,-1
770001,35,B,100,30,30,100,45,65,3,2,4,0,0,0,1
770001,36,A,100,5,45,100,20,45,1,2,2,0,0,0,-1
770001,36,B,100,20,45,100,5,45,1,2,0,2,0,0,1
770001,37,A,85,5,25,85,20,40,1,2,4,1,0,0,-1
770001,37,B,85,20,40,85,5,25,1,2,1,4,0,0,1
770001,38,A,70,5,15,70,20,35,1,2,5,2,0,0,-1
770001,38,B,70,20,35,70,5,15,1,2,2,5,0,0,1
770001,39,A,40,5,35,70,20,5,1,2,5,4,0,0,-1
770001,39,B,70,20,5,40,5,35,1,2,4,5,0,0,1
770001,40,A,40,5,45,83,33,5,2,2,1,5,0,0,-1
770001,40,B,83,33,5,40,5,45,2,2,5,1,0,0,1
770001,41,A,25,5,10,68,3,45,1,2,3,0,0,0,-1
770001,41,B,68,3,45,25,5,10,1,2,0,3,0,0,1
770002,1,A,100,100,100,100,100,100,5,0,0,0,1,1,1
770002,1,B,100,100,100,100,100,100,5,0,0,0,1,1,-1
770002,2,A,100,100,90,100,90,85,7,0,1,2,1,1,1
770002,2,B,100,90,85,100,100,90,7,0,2,1,1,1,-1
770002,3,A,100,90,100,100,90,85,6,0,2,3,1,1,1
770002,3,B,100,90,85,100,90,100,6,0,3,2,1,1,-1
770002,4,A,100,90,70,100,90,60,4,0,4,5,1,1,1
770002,4,B,100,90,60,100,90,70,4,0,5,4,1,1,-1
770002,5,A,100,40,100,100,50,100,8,0,0,0,1,1,1
770002,5,B,100,50,100,100,40,100,8,0,0,0,1,1,-1
770002,6,A,100,55,100,100,50,95,7,0,1,1,1,1,1
770002,6,B,100,50,95,100,55,100,7,0,1,1,1,1,-1
770002,7,A,100,55,95,100,40,100,6,0,2,2,1,1,1
770002,7,B,100,40,100,100,55,95,6,0,2,2,1,1,-1
770002,8,A,100,70,95,100,55,100,6,0,3,3,1,1,1
770002,8,B,100,55,100,100,70,95,6,0,3,3,1,1,-1
770002,9,A,100,60,85,100,55,100,4,0,5,4,1,1,1
770002,9,B,100,55,100,100,60,85,4,0,4,5,1,1,-1
770002,10,A,100,60,100,100,55,90,6,0,0,5,1,1,1
