1910001,9,B,100,30,100,100,25,100,6,0,3,3,1,1,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,10,A,100,39,100,100,20,100,6,0,4,4,1,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,10,B,100,20,100,100,39,100,6,0,4,4,1,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,11,A,100,39,95,100,35,100,4,1,0,5,1,1,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,11,B,100,35,100,100,39,95,4,1,5,0,1,1,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,12,A,100,9,100,100,50,100,4,1,1,0,1,1,0,0,5,6,0,0,0,0,1,1,2,0,0,0,0,0,-1
1910001,12,B,100,50,100,100,9,100,4,1,0,1,1,1,0,0,6,5,0,0,0,0,1,1,0,0,2,0,0,0,1
1910001,13,A,100,9,55,100,40,100,6,1,3,1,1,1,0,0,3,5,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,13,B,100,40,100,100,9,55,6,1,1,3,1,1,0,0,5,3,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,14,A,100,9,45,100,40,75,5,1,4,3,1,1,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,14,B,100,40,75,100,9,45,5,1,3,4,1,1,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,15,A,100,9,30,100,40,45,5,1,0,5,1,1,0,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,15,B,100,40,45,100,9,30,5,1,5,0,1,1,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,16,A,100,9,20,100,30,85,4,1,1,0,1,1,0,0,5,6,0,0,1,0,1,1,0,0,0,0,0,0,-1
1910001,16,B,100,30,85,100,9,20,4,1,0,1,1,1,0,0,6,5,0,0,0,1,1,1,0,0,0,0,0,0,1
1910001,17,A,100,9,40,100,45,85,4,1,1,1,1,1,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,17,B,100,45,85,100,9,40,4,1,1,1,1,1,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,18,A,100,9,30,100,45,85,4,1,2,2,1,1,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,18,B,100,45,85,100,9,30,4,1,2,2,1,1,0,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,19,A,100,24,30,100,45,60,2,1,3,4,1,1,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,19,B,100,45,60,100,24,30,2,1,4,3,1,1,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,20,A,85,24,20,100,15,70,2,1,4,0,1,1,0,0,2,6,0,0,1,0,0,1,0,0,1,0,0,0,-1
1910001,20,B,100,15,70,85,24,20,2,1,0,4,1,1,0,0,6,2,0,0,0,1,1,0,1,0,0,0,0,0,1
1910001,21,A,85,24,30,100,15,80,1,2,0,1,1,1,1,0,6,5,0,0,0,0,1,1,0,0,0,0,0,0,-1
1910001,21,B,100,15,80,85,24,30,1,2,1,0,1,1,0,1,5,6,0,0,0,0,1,1,0,0,0,0,0,0,1
1910001,22,A,84,24,30,100,15,75,1,2,0,3,1,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,-1
1910001,22,B,100,15,75,84,24,30,1,2,3,0,0,1,0,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,1
1910001,23,A,84,24,25,100,5,60,1,2,1,5,1,0,0,0,5,1,0,0,1,0,1,1,0,0,0,0,0,0,-1
1910001,23,B,100,5,60,84,24,25,1,2,5,1,0,1,0,0,1,5,0,0,0,1,1,1,0,0,0,0,0,0,1
1910001,24,A,54,14,35,100,5,60,1,2,2,1,1,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,-1
1910001,24,B,100,5,60,54,14,35,1,2,1,2,0,1,0,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,1
1910001,25,A,39,14,20,84,5,35,1,2,4,2,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,-1
1910001,25,B,84,5,35,39,14,20,1,2,2,4,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1
1910001,26,A,24,14,15,84,5,30,2,2,5,3,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,-1
1910001,26,B,84,5,30,24,14,15,2,2,3,5,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,1
